NPs,Capping,Core_size,DLS_size,Zeta_potential,Shape,MIC,Class,Family,Species
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,16,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae  
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,64,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,64,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,64,Bacilli,Streptococcaceae,Streptococcus mutans
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Capped,70,87,-13,polydispersed,16,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,64,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae  
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Klebsiella pneumoniae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,32,Gammaproteobacteria,Enterobacteriaceae,Enterobacter cloacae 
Au,Capped,70,87,-13,polydispersed,32,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,16,Bacilli,Streptococcaceae,Streptococcus mutans 
Au,Capped,70,87,-13,polydispersed,32,Bacilli,Streptococcaceae,Streptococcus mutans
Au,Uncapped,23.5,109,-18.4,spherical,12.5,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Uncapped,23.5,109,-18.4,spherical,25,Gammaproteobacteria,Enterobacteriaceae,Escherichia coli 
Au,Uncapped,11.5,32,23,spherical,0.18,Gammaproteobacteria,Moraxellaceae,Escherichia coli 
Au,Uncapped,35,47,12,spherical,3.12,Gammaproteobacteria,Pseudomonadaceae,Escherichia coli 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae 
TiO2,Capped,30,69,-33,spherical,9.85,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae 
TiO2,Capped,30,69,-33,spherical,9.85,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae 
TiO2,Capped,30,69,-33,spherical,9.85,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae 
TiO2,Capped,30,69,-33,spherical,39.4,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae  
TiO2,Capped,30,69,-33,spherical,4.92,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae 
TiO2,Capped,30,69,-33,spherical,4.92,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,9.85,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,39.4,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,9.85,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,9.85,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,9.85,Campylobacteria,Campylobacteraceae,Campylobacter jejuni
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter coli
TiO2,Capped,30,69,-33,spherical,9.85,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,9.85,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,19.7,Campylobacteria,Campylobacteraceae,Campylobacter coli 
