NPs,Capping,Core_size,DLS_size,Zeta_potential,Shape,MBC,Class,Family,Species
TiO2,Capped,30,69,-33,spherical,256,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae 
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae 
TiO2,Capped,30,69,-33,spherical,256,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae 
TiO2,Capped,30,69,-33,spherical,256,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae  
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Klebsiella pneumoniae 
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,256,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,256,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,256,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,256,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,256,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,512,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,64,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,64,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,32,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Campylobacter jejuni
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Campylobacter coli
TiO2,Capped,30,69,-33,spherical,256,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,64,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,64,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,128,Campylobacteria,Campylobacteraceae,Campylobacter coli 
TiO2,Capped,30,69,-33,spherical,256,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
TiO2,Capped,30,69,-33,spherical,32,Campylobacteria,Campylobacteraceae,Campylobacter jejuni 
